A,B
24038587,19346328
24038587,12880848
24038587,11771995
23565936,21596771
23565936,21284039
23565936,21247790
23565936,20589879
23565936,20152119
23565936,19346328
23565936,15528409
23296128,20152119
23296128,6067254
22766031,21725242
22766031,21596771
22766031,21069833
22766031,20671181
22766031,20152119
22766031,19346328
22766031,8778124
22713671,9278044
22713671,6067254
22713671,1564476
22713671,1202204
22134476,19404616
22134476,17897403
21725242,21596771
21725242,21284039
21725242,20976739
21725242,20589879
21725242,20152119
21725242,19346328
21725242,15528409
21725242,8401595
21596771,20589879
21596771,20152119
21596771,19346328
21486295,17850833
20589879,20152119
20589879,19346328
20589879,18384246
20152119,19346328
20152119,15528409
15716523,6067254
15716523,1564476
15716523,1202204
1564476,6067254
28592453,16237129
28592453,14966152
26705763,23038420
26705763,21514250
26705763,20145400
26705763,17761438
26705763,17542011
26705763,16594774
26705763,16237129
26705763,15907304
26705763,14743362
26705763,12473758
26705763,11970796
26705763,2183676
26270627,26270627
26270627,25095794
26270627,18024777
26270627,17761438
26270627,17542011
26270627,17287240
26270627,16237129
26270627,10762503
26260856,21514250
23038420,15716523
23038420,1202204
22500014,16237129
22500014,1202204
21514250,16237129
17287240,16237129
17287240,14743362
17287240,12473758
17287240,11405813
17287240,1564476
17287240,1202204
16772356,12473758
16772356,11405813
16772356,10762503
16772356,10720273
16772356,1202204
14966152,12473758
14966152,11405813
14966152,10720273
14966152,1202204
27753157,19288469
27753157,18538636
27753157,16781988
19288469,16810719
19288469,1564476
29053684,28225155
29053684,27372845
29053684,27089545
29053684,26880536
29053684,26780383
29053684,16817194
29053684,8139608
29053684,3397865
28937310,28225155
28937310,26780383
28937310,25983531
28937310,25852494
28937310,25179996
28725706,23801735
28725706,19288469
28725706,18538636
28725706,16781988
28225155,27372845
28225155,27089545
28225155,26780383
28225155,26645310
28225155,25852494
28225155,25179996
27372845,26780383
27372845,26652115
27372845,25983531
27372845,25852494
27372845,25179996
27372845,16817194
26780383,25852494
25983531,16817194
25686212,19621072
25686212,16713924
21180627,19288469
21180627,18538636
21180627,16781988
21180627,10976644
18394576,16817194
29657115,16810722
29107703,28620314
29107703,27796054
29107703,24321199
29107703,23516292
29107703,18160631
29107703,17491094
29107703,17470494
29107703,12217429
29107703,11846609
29107703,9822755
29107703,9491897
28620314,28261108
28620314,27665420
28620314,24321199
28620314,23516292
28620314,15203246
28620314,9822755
28620314,9491897
28588546,27665420
28588546,24321199
28588546,21514250
28588546,15203246
28588546,9491897
28389870,27796054
28389870,27336845
28389870,23299718
28389870,21935673
28389870,21338887
28389870,19921532
28389870,17491094
28389870,17470494
28389870,16809007
28389870,11830281
28389870,11370008
28389870,9491897
28261108,27665420
28261108,24321199
28261108,23516292
28261108,20728473
28261108,19026718
28261108,17977608
28261108,15203246
28261108,11370008
28261108,9491897
25852518,23396085
25852518,21192928
25852518,19847468
25852518,15716523
25852518,11031089
25852518,1564476
24102345,21338887
24102345,18160631
24102345,17977608
24102345,15979595
24102345,15132732
24102345,15090035
24102345,14656716
24102345,12217429
24102345,11830273
24102345,11370008
24102345,11328454
24102345,11250867
24102345,10915829
24102345,9822755
24102345,9491897
24089383,16809007
24089383,11846609
24089383,11830273
24089383,9822755
24089383,9491897
23516292,18160631
23516292,12217429
23516292,9822755
23516292,9491897
23299718,21338887
23299718,19921532
23299718,15979595
23299718,15132732
23299718,15090035
23299718,11830288
23299718,11830281
23299718,11370008
23299718,11274794
23299718,10915829
23299718,10698122
23299718,9822755
23299718,9491897
22203796,4714294
21739363,20882064
21739363,19633949
21739363,17470494
21739363,9491897
21192928,11031089
21192928,9197268
21192928,8559303
20882064,17491094
20882064,17470494
20882064,12939433
19633949,19026718
19633949,10698122
19633949,9491897
17115071,9491897
11250867,9822755
11250867,9491897
30190461,29969391
30190461,27018801
30190461,26352473
30190461,26324905
30190461,26061766
30190461,24108358
30190461,9726379
30190461,9600990
30093536,28576704
30093536,27918765
30093536,27708076
30093536,26647156
30093536,26093169
30093536,25095794
30093536,23161999
30093536,22920859
30093536,21982369
30093536,21303699
30093536,21245577
30093536,18391962
30065316,29969391
30065316,27018801
30065316,26808899
30065316,26352473
30065316,26061766
30065316,24728187
30065316,15451224
30065316,9278044
30065316,9197268
29969391,27018801
29969391,26352473
29969391,26061766
29969391,24108358
29969391,21325059
29969391,12377775
29969391,9600990
29969391,9278044
29969391,9197268
29783988,28649610
29783988,22315722
29783988,20118279
29783988,19296921
29783988,19104149
29783988,18167537
29783988,16713924
29783988,16182554
29497361,27733604
29497361,26858591
29497361,26075822
29497361,24736453
29497361,24728187
29497361,23506036
29497361,21982369
29497361,20711464
29497361,20551914
29497361,20511551
29497361,18976489
29497361,16219675
29497361,16182554
29497361,15935098
29497361,9278044
29497361,9197268
29497361,3399080
28923922,21325059
28923922,11031089
28923922,9600990
28923922,9197268
28877262,28332488
28877262,22301995
28877262,15333840
28877262,9278044
28877262,9197268
28860381,26076669
28860381,20445061
28860381,17376993
28751258,27488222
28751258,26324905
28751258,26286986
28751258,26093169
28751258,26075822
28751258,26061766
28751258,24262191
28751258,24108358
28751258,23466394
28751258,23161999
28751258,21982369
28751258,21841800
28751258,18391963
28751258,18391962
28751258,15716523
28751258,12498954
28751258,9197268
28649610,22315722
28649610,20118279
28649610,19104149
28649610,18167537
28576704,27503075
28576704,26093169
28576704,26061766
28576704,25095794
28576704,24659240
28576704,23466394
28576704,23161999
28576704,23108585
28576704,21982369
28576704,9726379
28576704,9278044
28552073,27503075
28552073,26324905
